date,y_pred,y_true
12-09-2024,84.06946,81.98616
13-09-2024,82.75829,79.73285
14-09-2024,82.63165,81.37013
15-09-2024,83.869,81.903755
16-09-2024,83.86783,83.275
17-09-2024,85.57962,85.9637
18-09-2024,86.224525,83.53466
19-09-2024,85.82724,77.82874
20-09-2024,85.060524,80.90371
21-09-2024,85.11019,86.513016
22-09-2024,85.21359,84.840416
23-09-2024,85.16121,87.733406
24-09-2024,86.31691,92.15808
25-09-2024,87.52575,86.90083
26-09-2024,86.437485,91.2377
27-09-2024,86.840256,87.44667
28-09-2024,84.10691,82.6388
29-09-2024,83.86133,83.217316
30-09-2024,85.39649,85.304535
01-10-2024,86.023605,91.58729
02-10-2024,85.96581,90.86229
03-10-2024,86.318695,87.0309
04-10-2024,85.51441,80.682465
05-10-2024,84.892525,83.52195
06-10-2024,85.47247,81.46955
07-10-2024,83.9249,89.15795
08-10-2024,86.53954,85.908966
09-10-2024,86.754456,82.94356
10-10-2024,85.12168,86.89098
11-10-2024,85.154106,90.88237
12-10-2024,84.77722,87.53617
13-10-2024,84.85945,87.000725
14-10-2024,86.45418,90.03669
15-10-2024,85.57361,86.66514
16-10-2024,84.77197,88.57102
17-10-2024,85.4349,90.006226
18-10-2024,86.59037,84.72188
19-10-2024,84.85911,88.84803
20-10-2024,84.53342,88.25819
21-10-2024,86.09159,86.696236
22-10-2024,84.444756,84.95643
23-10-2024,83.64389,84.73112
24-10-2024,82.45086,80.32196
25-10-2024,78.59694,84.98682
26-10-2024,85.251884,81.901085
27-10-2024,85.94369,80.00734
28-10-2024,86.79829,82.99118
29-10-2024,86.81715,83.59262
30-10-2024,86.67422,84.24045
31-10-2024,86.07452,80.64814
01-11-2024,84.78332,74.40228
02-11-2024,82.90967,83.372696
03-11-2024,84.785576,70.588425
04-11-2024,77.82925,72.83246
05-11-2024,77.81254,72.23145
06-11-2024,73.5391,71.61538
07-11-2024,73.049355,63.368355
08-11-2024,70.41078,68.636246
09-11-2024,71.23933,71.46316
10-11-2024,73.007034,63.904915
11-11-2024,68.30358,70.78231
12-11-2024,71.84811,66.17397
13-11-2024,67.41802,66.52855
14-11-2024,67.82006,71.995125
15-11-2024,72.46632,62.92495
16-11-2024,69.5591,74.32234
17-11-2024,72.150955,75.80084
18-11-2024,73.5149,77.65081
19-11-2024,75.4054,66.93747
20-11-2024,70.90369,64.797485
21-11-2024,63.94321,75.57395
22-11-2024,69.38923,76.63234
23-11-2024,73.32867,77.186356
24-11-2024,77.09057,77.40865
25-11-2024,78.32722,75.10032
26-11-2024,75.40265,64.90719
27-11-2024,66.2531,66.189354
28-11-2024,68.746994,60.837254
29-11-2024,66.245415,61.474617
30-11-2024,65.26772,60.535202
01-12-2024,70.00043,65.55061
02-12-2024,73.13792,72.49359
03-12-2024,77.65399,69.02197
04-12-2024,73.676834,74.415955
05-12-2024,75.712036,81.9986
06-12-2024,81.758286,87.37559
07-12-2024,84.16999,71.132
08-12-2024,78.79063,56.623573
09-12-2024,69.48789,60.937737
10-12-2024,65.20814,55.42494
11-12-2024,62.39289,70.02446
12-12-2024,66.89964,71.82893
13-12-2024,68.41591,70.226685
14-12-2024,66.92935,61.803192
15-12-2024,65.02183,68.158676
16-12-2024,67.65686,64.192635
17-12-2024,68.966385,62.807747
18-12-2024,70.83714,65.72163
19-12-2024,73.960365,81.28883
20-12-2024,73.44135,80.3111
21-12-2024,88.33572388,81.26954
time,predicted,actual
22-12-2024,86.78206635,83.66376
23-12-2024,85.82023621,84.77722
24-12-2024,85.35237885,70.21124
25-12-2024,85.37037659,60.95616
26-12-2024,85.00577545,72.68005
27-12-2024,84.67341614,78.91093
28-12-2024,77.3527,84.529686
29-12-2024,79.67699,78.543236
30-12-2024,75.97508,72.58188
31-12-2024,66.30917,75.13464
