date,T2M ,VQC_uni_pred
08-11-24,300.09808,300.13696
08-12-24,299.37646,300.09448
08-13-24,299.49542,299.82138
08-14-24,300.42264,299.7644
08-15-24,300.3834,300.34988
08-16-24,300.33868,300.17102
08-17-24,301.09998,300.25
08-18-24,301.33533,300.53253
08-19-24,301.4587,300.7444
08-20-24,301.0908,300.91534
08-21-24,300.51428,300.82642
08-22-24,300.89615,300.47952
08-23-24,300.86932,300.56073
08-24-24,300.52252,300.753
08-25-24,300.141,300.6461
08-26-24,300.09268,300.43427
08-27-24,299.3511,300.31406
08-28-24,299.23407,299.93457
08-29-24,299.39453,299.85742
08-30-24,299.5584,299.7639
08-31-24,300.21292,299.76807
09-01-24,300.79358,300.12753
09-02-24,300.77005,300.48203
09-03-24,300.70093,300.5104
09-04-24,300.11288,300.4457
09-05-24,299.02533,300.1037
09-06-24,298.90326,299.5128
09-07-24,299.0327,299.29565
09-08-24,299.70468,299.3642
09-09-24,299.97995,299.7718
09-10-24,300.37668,300.0539
09-11-24,299.64932,300.25424
09-12-24,299.57346,299.86902
09-13-24,297.13605,299.73477
09-14-24,297.19513,298.17453
09-15-24,298.18573,297.798
09-16-24,298.74698,298.2456
09-17-24,298.93774,298.92978
09-18-24,299.66476,299.0973
09-19-24,296.5415,299.54675
09-20-24,298.16602,297.55426
09-21-24,299.03976,298.1148
09-22-24,300.05368,298.63327
09-23-24,300.0881,299.53772
09-24-24,300.7378,299.45154
09-25-24,301.2738,300.10995
09-26-24,299.9347,300.3137
09-27-24,299.62714,300.13538
09-28-24,297.38718,299.61176
09-29-24,297.66937,298.10437
09-30-24,298.7424,298.1196
10-01-24,298.95667,298.87488
10-02-24,299.84955,299.3758
10-03-24,299.6806,299.90265
10-04-24,298.85236,299.57507
10-05-24,299.24042,299.1842
10-06-24,298.3748,299.17343
10-07-24,297.13025,298.70538
10-08-24,297.14917,297.6163
10-09-24,296.89688,297.4024
10-10-24,296.1217,297.47165
10-11-24,294.48407,296.8528
10-12-24,294.59937,295.64417
10-13-24,294.0234,294.96283
10-14-24,294.54282,294.641
10-15-24,293.53748,295.08765
10-16-24,293.46042,293.9338
10-17-24,295.25308,293.8891
10-18-24,294.32245,294.86533
10-19-24,294.91754,294.50568
10-20-24,295.31952,294.94482
10-21-24,294.75116,294.92993
10-22-24,294.5487,294.7738
10-23-24,295.13516,294.54102
10-24-24,294.56934,295.12964
10-25-24,293.21405,294.70444
10-26-24,292.5134,293.56827
10-27-24,293.76114,292.94034
10-28-24,294.48676,293.71072
10-29-24,294.86536,294.7651
10-30-24,295.1488,294.76688
10-31-24,295.83286,294.90207
11-01-24,293.27106,295.7503
11-02-24,291.6394,293.71057
11-03-24,291.54822,292.36774
11-04-24,291.43927,291.87198
11-05-24,291.34808,291.81537
11-06-24,291.7384,291.60803
11-07-24,292.50793,291.86377
11-08-24,293.3464,292.4689
11-09-24,293.60382,293.1373
11-10-24,293.80847,293.3834
11-11-24,292.65173,293.65662
11-12-24,292.54108,292.74466
11-13-24,291.6316,292.417
11-14-24,290.67496,291.7564
11-15-24,291.10132,291.26175
11-16-24,290.11435,290.87772
11-17-24,290.61804,290.36325
11-18-24,288.8036,290.8331
11-19-24,288.11127,289.34018
11-20-24,286.84186,288.6781
11-21-24,286.79672,287.15918
11-22-24,286.93112,287.23984
11-23-24,287.1546,286.78802
11-24-24,287.51956,287.06683
11-25-24,288.20398,287.12698
11-26-24,287.31314,287.51343
11-27-24,286.95386,287.1684
11-28-24,285.7146,286.48462
11-29-24,285.4803,285.52667
11-30-24,285.86206,285.2751
12-01-24,286.99332,285.37857
12-02-24,286.437,286.57452
12-03-24,286.27997,286.05753
12-04-24,288.00354,286.1182
12-05-24,285.21393,287.2423
12-06-24,284.38284,285.6119
12-07-24,283.69165,284.6677
12-08-24,283.77716,283.59943
12-09-24,284.45535,284.05264
12-10-24,283.37393,284.2946
12-11-24,281.58798,283.69678
12-12-24,280.53967,282.22342
12-13-24,281.83426,281.39944
12-14-24,281.93726,282.23245
12-15-24,280.8782,282.14975
12-16-24,280.70435,281.64032
12-17-24,281.00644,280.656
12-18-24,282.14166,281.1065
12-19-24,280.90192,282.28317
12-20-24,283.9293,281.1452
12-21-24,284.06418,283.0311
12-22-24,283.00507,283.10767
12-23-24,284.30634,282.91187
12-24-24,284.43182,283.36023
12-25-24,283.72913,284.0775
12-26-24,284.19565,283.5328
12-27-24,287.05008,283.69412
12-28-24,287.27713,286.09464
12-29-24,286.41608,286.56863
12-30-24,283.37665,286.35132
12-31-24,281.90262,283.65427
